Date,Year,Month Number,Month,Month & Year,Mon & Year
23-Sep-89,1989,9,September,September 1989,Sep 1989
24-Sep-89,1989,9,September,September 1989,Sep 1989
25-Sep-89,1989,9,September,September 1989,Sep 1989
26-Sep-89,1989,9,September,September 1989,Sep 1989
27-Sep-89,1989,9,September,September 1989,Sep 1989
28-Sep-89,1989,9,September,September 1989,Sep 1989
29-Sep-89,1989,9,September,September 1989,Sep 1989
30-Sep-89,1989,9,September,September 1989,Sep 1989
1-Oct-89,1989,10,October,October 1989,Oct 1989
2-Oct-89,1989,10,October,October 1989,Oct 1989
3-Oct-89,1989,10,October,October 1989,Oct 1989
4-Oct-89,1989,10,October,October 1989,Oct 1989
5-Oct-89,1989,10,October,October 1989,Oct 1989
6-Oct-89,1989,10,October,October 1989,Oct 1989
7-Oct-89,1989,10,October,October 1989,Oct 1989
8-Oct-89,1989,10,October,October 1989,Oct 1989
9-Oct-89,1989,10,October,October 1989,Oct 1989
10-Oct-89,1989,10,October,October 1989,Oct 1989
11-Oct-89,1989,10,October,October 1989,Oct 1989
12-Oct-89,1989,10,October,October 1989,Oct 1989
13-Oct-89,1989,10,October,October 1989,Oct 1989
14-Oct-89,1989,10,October,October 1989,Oct 1989
15-Oct-89,1989,10,October,October 1989,Oct 1989
16-Oct-89,1989,10,October,October 1989,Oct 1989
17-Oct-89,1989,10,October,October 1989,Oct 1989
18-Oct-89,1989,10,October,October 1989,Oct 1989
19-Oct-89,1989,10,October,October 1989,Oct 1989
20-Oct-89,1989,10,October,October 1989,Oct 1989
21-Oct-89,1989,10,October,October 1989,Oct 1989
22-Oct-89,1989,10,October,October 1989,Oct 1989
23-Oct-89,1989,10,October,October 1989,Oct 1989
24-Oct-89,1989,10,October,October 1989,Oct 1989
25-Oct-89,1989,10,October,October 1989,Oct 1989
26-Oct-89,1989,10,October,October 1989,Oct 1989
27-Oct-89,1989,10,October,October 1989,Oct 1989
28-Oct-89,1989,10,October,October 1989,Oct 1989
29-Oct-89,1989,10,October,October 1989,Oct 1989
30-Oct-89,1989,10,October,October 1989,Oct 1989
31-Oct-89,1989,10,October,October 1989,Oct 1989
1-Nov-89,1989,11,November,November 1989,Nov 1989
2-Nov-89,1989,11,November,November 1989,Nov 1989
3-Nov-89,1989,11,November,November 1989,Nov 1989
4-Nov-89,1989,11,November,November 1989,Nov 1989
5-Nov-89,1989,11,November,November 1989,Nov 1989
6-Nov-89,1989,11,November,November 1989,Nov 1989
7-Nov-89,1989,11,November,November 1989,Nov 1989
8-Nov-89,1989,11,November,November 1989,Nov 1989
9-Nov-89,1989,11,November,November 1989,Nov 1989
10-Nov-89,1989,11,November,November 1989,Nov 1989
11-Nov-89,1989,11,November,November 1989,Nov 1989
12-Nov-89,1989,11,November,November 1989,Nov 1989
13-Nov-89,1989,11,November,November 1989,Nov 1989
14-Nov-89,1989,11,November,November 1989,Nov 1989
15-Nov-89,1989,11,November,November 1989,Nov 1989
16-Nov-89,1989,11,November,November 1989,Nov 1989
17-Nov-89,1989,11,November,November 1989,Nov 1989
18-Nov-89,1989,11,November,November 1989,Nov 1989
19-Nov-89,1989,11,November,November 1989,Nov 1989
20-Nov-89,1989,11,November,November 1989,Nov 1989
21-Nov-89,1989,11,November,November 1989,Nov 1989
22-Nov-89,1989,11,November,November 1989,Nov 1989
23-Nov-89,1989,11,November,November 1989,Nov 1989
24-Nov-89,1989,11,November,November 1989,Nov 1989
25-Nov-89,1989,11,November,November 1989,Nov 1989
26-Nov-89,1989,11,November,November 1989,Nov 1989
27-Nov-89,1989,11,November,November 1989,Nov 1989
28-Nov-89,1989,11,November,November 1989,Nov 1989
29-Nov-89,1989,11,November,November 1989,Nov 1989
30-Nov-89,1989,11,November,November 1989,Nov 1989
1-Dec-89,1989,12,December,December 1989,Dec 1989
2-Dec-89,1989,12,December,December 1989,Dec 1989
3-Dec-89,1989,12,December,December 1989,Dec 1989
4-Dec-89,1989,12,December,December 1989,Dec 1989
5-Dec-89,1989,12,December,December 1989,Dec 1989
6-Dec-89,1989,12,December,December 1989,Dec 1989
7-Dec-89,1989,12,December,December 1989,Dec 1989
8-Dec-89,1989,12,December,December 1989,Dec 1989
9-Dec-89,1989,12,December,December 1989,Dec 1989
10-Dec-89,1989,12,December,December 1989,Dec 1989
11-Dec-89,1989,12,December,December 1989,Dec 1989
12-Dec-89,1989,12,December,December 1989,Dec 1989
13-Dec-89,1989,12,December,December 1989,Dec 1989
14-Dec-89,1989,12,December,December 1989,Dec 1989
15-Dec-89,1989,12,December,December 1989,Dec 1989
16-Dec-89,1989,12,December,December 1989,Dec 1989
17-Dec-89,1989,12,December,December 1989,Dec 1989
18-Dec-89,1989,12,December,December 1989,Dec 1989
19-Dec-89,1989,12,December,December 1989,Dec 1989
20-Dec-89,1989,12,December,December 1989,Dec 1989
21-Dec-89,1989,12,December,December 1989,Dec 1989
22-Dec-89,1989,12,December,December 1989,Dec 1989
23-Dec-89,1989,12,December,December 1989,Dec 1989
24-Dec-89,1989,12,December,December 1989,Dec 1989
25-Dec-89,1989,12,December,December 1989,Dec 1989
26-Dec-89,1989,12,December,December 1989,Dec 1989
27-Dec-89,1989,12,December,December 1989,Dec 1989
28-Dec-89,1989,12,December,December 1989,Dec 1989
29-Dec-89,1989,12,December,December 1989,Dec 1989
30-Dec-89,1989,12,December,December 1989,Dec 1989
31-Dec-89,1989,12,December,December 1989,Dec 1989
1-Jan-90,1990,1,January,January 1990,Jan 1990
2-Jan-90,1990,1,January,January 1990,Jan 1990
3-Jan-90,1990,1,January,January 1990,Jan 1990
4-Jan-90,1990,1,January,January 1990,Jan 1990
5-Jan-90,1990,1,January,January 1990,Jan 1990
6-Jan-90,1990,1,January,January 1990,Jan 1990
7-Jan-90,1990,1,January,January 1990,Jan 1990
8-Jan-90,1990,1,January,January 1990,Jan 1990
9-Jan-90,1990,1,January,January 1990,Jan 1990
10-Jan-90,1990,1,January,January 1990,Jan 1990
11-Jan-90,1990,1,January,January 1990,Jan 1990
12-Jan-90,1990,1,January,January 1990,Jan 1990
13-Jan-90,1990,1,January,January 1990,Jan 1990
14-Jan-90,1990,1,January,January 1990,Jan 1990
15-Jan-90,1990,1,January,January 1990,Jan 1990
16-Jan-90,1990,1,January,January 1990,Jan 1990
17-Jan-90,1990,1,January,January 1990,Jan 1990
18-Jan-90,1990,1,January,January 1990,Jan 1990
19-Jan-90,1990,1,January,January 1990,Jan 1990
20-Jan-90,1990,1,January,January 1990,Jan 1990
21-Jan-90,1990,1,January,January 1990,Jan 1990
22-Jan-90,1990,1,January,January 1990,Jan 1990
23-Jan-90,1990,1,January,January 1990,Jan 1990
24-Jan-90,1990,1,January,January 1990,Jan 1990
25-Jan-90,1990,1,January,January 1990,Jan 1990
26-Jan-90,1990,1,January,January 1990,Jan 1990
27-Jan-90,1990,1,January,January 1990,Jan 1990
28-Jan-90,1990,1,January,January 1990,Jan 1990
29-Jan-90,1990,1,January,January 1990,Jan 1990
30-Jan-90,1990,1,January,January 1990,Jan 1990
31-Jan-90,1990,1,January,January 1990,Jan 1990
1-Feb-90,1990,2,February,February 1990,Feb 1990
2-Feb-90,1990,2,February,February 1990,Feb 1990
3-Feb-90,1990,2,February,February 1990,Feb 1990
4-Feb-90,1990,2,February,February 1990,Feb 1990
5-Feb-90,1990,2,February,February 1990,Feb 1990
6-Feb-90,1990,2,February,February 1990,Feb 1990
7-Feb-90,1990,2,February,February 1990,Feb 1990
8-Feb-90,1990,2,February,February 1990,Feb 1990
9-Feb-90,1990,2,February,February 1990,Feb 1990
10-Feb-90,1990,2,February,February 1990,Feb 1990
11-Feb-90,1990,2,February,February 1990,Feb 1990
12-Feb-90,1990,2,February,February 1990,Feb 1990
13-Feb-90,1990,2,February,February 1990,Feb 1990
14-Feb-90,1990,2,February,February 1990,Feb 1990
15-Feb-90,1990,2,February,February 1990,Feb 1990
16-Feb-90,1990,2,February,February 1990,Feb 1990
17-Feb-90,1990,2,February,February 1990,Feb 1990
18-Feb-90,1990,2,February,February 1990,Feb 1990
19-Feb-90,1990,2,February,February 1990,Feb 1990
20-Feb-90,1990,2,February,February 1990,Feb 1990
21-Feb-90,1990,2,February,February 1990,Feb 1990
22-Feb-90,1990,2,February,February 1990,Feb 1990
23-Feb-90,1990,2,February,February 1990,Feb 1990
24-Feb-90,1990,2,February,February 1990,Feb 1990
25-Feb-90,1990,2,February,February 1990,Feb 1990
26-Feb-90,1990,2,February,February 1990,Feb 1990
27-Feb-90,1990,2,February,February 1990,Feb 1990
28-Feb-90,1990,2,February,February 1990,Feb 1990
1-Mar-90,1990,3,March,March 1990,Mar 1990
2-Mar-90,1990,3,March,March 1990,Mar 1990
3-Mar-90,1990,3,March,March 1990,Mar 1990
4-Mar-90,1990,3,March,March 1990,Mar 1990
5-Mar-90,1990,3,March,March 1990,Mar 1990
6-Mar-90,1990,3,March,March 1990,Mar 1990
7-Mar-90,1990,3,March,March 1990,Mar 1990
8-Mar-90,1990,3,March,March 1990,Mar 1990
9-Mar-90,1990,3,March,March 1990,Mar 1990
10-Mar-90,1990,3,March,March 1990,Mar 1990
11-Mar-90,1990,3,March,March 1990,Mar 1990
12-Mar-90,1990,3,March,March 1990,Mar 1990
13-Mar-90,1990,3,March,March 1990,Mar 1990
14-Mar-90,1990,3,March,March 1990,Mar 1990
15-Mar-90,1990,3,March,March 1990,Mar 1990
16-Mar-90,1990,3,March,March 1990,Mar 1990
17-Mar-90,1990,3,March,March 1990,Mar 1990
18-Mar-90,1990,3,March,March 1990,Mar 1990
19-Mar-90,1990,3,March,March 1990,Mar 1990
20-Mar-90,1990,3,March,March 1990,Mar 1990
21-Mar-90,1990,3,March,March 1990,Mar 1990
22-Mar-90,1990,3,March,March 1990,Mar 1990
23-Mar-90,1990,3,March,March 1990,Mar 1990
24-Mar-90,1990,3,March,March 1990,Mar 1990
25-Mar-90,1990,3,March,March 1990,Mar 1990
26-Mar-90,1990,3,March,March 1990,Mar 1990
27-Mar-90,1990,3,March,March 1990,Mar 1990
28-Mar-90,1990,3,March,March 1990,Mar 1990
29-Mar-90,1990,3,March,March 1990,Mar 1990
30-Mar-90,1990,3,March,March 1990,Mar 1990
31-Mar-90,1990,3,March,March 1990,Mar 1990
1-Apr-90,1990,4,April,April 1990,Apr 1990
2-Apr-90,1990,4,April,April 1990,Apr 1990
3-Apr-90,1990,4,April,April 1990,Apr 1990
4-Apr-90,1990,4,April,April 1990,Apr 1990
5-Apr-90,1990,4,April,April 1990,Apr 1990
6-Apr-90,1990,4,April,April 1990,Apr 1990
7-Apr-90,1990,4,April,April 1990,Apr 1990
8-Apr-90,1990,4,April,April 1990,Apr 1990
9-Apr-90,1990,4,April,April 1990,Apr 1990
10-Apr-90,1990,4,April,April 1990,Apr 1990
11-Apr-90,1990,4,April,April 1990,Apr 1990
12-Apr-90,1990,4,April,April 1990,Apr 1990
13-Apr-90,1990,4,April,April 1990,Apr 1990
14-Apr-90,1990,4,April,April 1990,Apr 1990
15-Apr-90,1990,4,April,April 1990,Apr 1990
16-Apr-90,1990,4,April,April 1990,Apr 1990
17-Apr-90,1990,4,April,April 1990,Apr 1990
18-Apr-90,1990,4,April,April 1990,Apr 1990
19-Apr-90,1990,4,April,April 1990,Apr 1990
20-Apr-90,1990,4,April,April 1990,Apr 1990
21-Apr-90,1990,4,April,April 1990,Apr 1990
22-Apr-90,1990,4,April,April 1990,Apr 1990
23-Apr-90,1990,4,April,April 1990,Apr 1990
24-Apr-90,1990,4,April,April 1990,Apr 1990
25-Apr-90,1990,4,April,April 1990,Apr 1990
26-Apr-90,1990,4,April,April 1990,Apr 1990
27-Apr-90,1990,4,April,April 1990,Apr 1990
28-Apr-90,1990,4,April,April 1990,Apr 1990
29-Apr-90,1990,4,April,April 1990,Apr 1990
30-Apr-90,1990,4,April,April 1990,Apr 1990
1-May-90,1990,5,May,May 1990,May 1990
2-May-90,1990,5,May,May 1990,May 1990
3-May-90,1990,5,May,May 1990,May 1990
4-May-90,1990,5,May,May 1990,May 1990
5-May-90,1990,5,May,May 1990,May 1990
6-May-90,1990,5,May,May 1990,May 1990
7-May-90,1990,5,May,May 1990,May 1990
8-May-90,1990,5,May,May 1990,May 1990
9-May-90,1990,5,May,May 1990,May 1990
10-May-90,1990,5,May,May 1990,May 1990
11-May-90,1990,5,May,May 1990,May 1990
12-May-90,1990,5,May,May 1990,May 1990
13-May-90,1990,5,May,May 1990,May 1990
14-May-90,1990,5,May,May 1990,May 1990
15-May-90,1990,5,May,May 1990,May 1990
16-May-90,1990,5,May,May 1990,May 1990
17-May-90,1990,5,May,May 1990,May 1990
18-May-90,1990,5,May,May 1990,May 1990
19-May-90,1990,5,May,May 1990,May 1990
20-May-90,1990,5,May,May 1990,May 1990
21-May-90,1990,5,May,May 1990,May 1990
22-May-90,1990,5,May,May 1990,May 1990
23-May-90,1990,5,May,May 1990,May 1990
24-May-90,1990,5,May,May 1990,May 1990
25-May-90,1990,5,May,May 1990,May 1990
26-May-90,1990,5,May,May 1990,May 1990
27-May-90,1990,5,May,May 1990,May 1990
28-May-90,1990,5,May,May 1990,May 1990
29-May-90,1990,5,May,May 1990,May 1990
30-May-90,1990,5,May,May 1990,May 1990
31-May-90,1990,5,May,May 1990,May 1990
1-Jun-90,1990,6,June,June 1990,Jun 1990
2-Jun-90,1990,6,June,June 1990,Jun 1990
3-Jun-90,1990,6,June,June 1990,Jun 1990
4-Jun-90,1990,6,June,June 1990,Jun 1990
5-Jun-90,1990,6,June,June 1990,Jun 1990
6-Jun-90,1990,6,June,June 1990,Jun 1990
7-Jun-90,1990,6,June,June 1990,Jun 1990
8-Jun-90,1990,6,June,June 1990,Jun 1990
9-Jun-90,1990,6,June,June 1990,Jun 1990
